"","name_resultsfile","region","phenometric","indep.variable","Reanalysis_sign","Reanalysis_p","Reanalysis_coef","Fric_SR_sign","Fric_SR_p","Fric_SR_coef","Fric_RR_sign","Fric_RR_p","Fric_RR_coef"
"1","Anthocharis cardamines","Europe","onset","latitude",1,5.70136354490933e-36,3.18273886906913,1,0.028088531629341,1.54709765372749,1,0.000502486827977508,2.17672587079003
"2","Anthocharis cardamines","Europe","onset","year",-1,4.14619878263716e-14,-0.411687882430312,0,0.854234193228519,0.0755359252799233,0,0.510444627344135,-0.253155952313895
"3","Aphantopus hyperantus","Europe","onset","latitude",1,1.05505032773517e-08,2.02693212310704,0,0.209663689504463,-1.82440855645276,0,0.617188290262775,0.66755620164793
"4","Aphantopus hyperantus","Europe","onset","year",-1,0.0432700830483754,-0.183788750151761,0,0.869560129416473,0.0918396874773926,0,0.649220147230539,0.245846487911119
"5","Aporia crataegi","Europe","onset","latitude",1,8.43111998040691e-09,6.32215436539117,0,0.736100787492623,0.123250016693006,0,0.107595035343592,0.531054771358334
"6","Aporia crataegi","Europe","onset","year",-1,0.000686209080013897,-0.632314829158789,0,0.880258470613147,-0.0271869193608375,0,0.81742340544818,-0.0415707096945105
"7","Argynnis adippe","Europe","onset","latitude",1,2.48954451713706e-05,2.67476117190469,-1,0.0115534213842534,-1.50543809275211,0,0.287275388416012,0.505037695982052
"8","Argynnis adippe","Europe","onset","year",0,0.203818744634276,-0.167231397287968,0,0.269599305321625,-0.279754666102683,0,0.443619116991583,-0.176018495512124
"9","Argynnis aglaja","Europe","onset","latitude",1,9.96133581850346e-06,1.69552613239428,0,0.646600195211641,-0.462750381938552,0,0.657766982183536,0.407583282409591
"10","Argynnis aglaja","Europe","onset","year",0,0.0872889213645213,-0.15267299031798,0,0.0543547579875282,-0.689920218230983,0,0.0510293734544986,-0.696267703003383
"11","Argynnis niobe","Europe","onset","latitude",0,0.455529435072776,1.21124517166399,-1,0.0161471100740192,-1.0665,0,0.858603660525963,-0.0758946993503753
