name,region,fric_n,lat_span,year_span,alt_span,n_lat,n_onset,n_term,n_flightcurve0s,curated_n_obs,curated_n_lat,curated_n_fcurve,curated_lat_span,curated_year_span,curated_alt_span
Agriades glandon,N. America,113,34,103,4042,26,27,27,9,NA,NA,NA,NA,NA,NA
Agriades optilete,Europe,86,25,111,2940,15,15,15,5,NA,NA,NA,NA,NA,NA
Amblyscirtes vialis,N. America,97,29,133,2775,21,22,21,9,NA,NA,NA,NA,NA,NA
Anthocharis cardamines,Europe,31849,32,168,2595,33,39,35,2,29152,17,393,16,80,499
Anthocharis sara,N. America,229,28,111,4417,21,22,22,6,NA,NA,NA,NA,NA,NA
Aphantopus hyperantus,Europe,30598,25,399,2102,26,27,28,1,27887,15,330,14,79,488
Aporia crataegi,Europe,5172,64,165,2520,33,34,35,2,4055,10,108,13,74,268
Argynnis aglaja,Europe,9115,31,142,2590,32,33,34,1,6456,15,227,15,75,499
Argynnis niobe,Europe,1980,26,164,2662,24,28,26,0,511,6,31,10,74,374
Argynnis paphia,Europe,7918,29,146,2635,30,31,35,1,6096,11,183,14,100,374
Aricia artaxerxes,Europe,1067,32,168,2653,26,28,26,1,361,3,23,4,48,493
Boloria alaskensis,N. America,31,15,64,2113,5,5,5,1,NA,NA,NA,NA,NA,NA
Boloria aquilonaris,Europe,2375,24,138,2154,21,23,22,1,553,12,39,15,74,471
Boloria astarte,N. America,27,19,97,1678,9,9,10,5,NA,NA,NA,NA,NA,NA
Boloria bellona,N. America,250,33,103,2865,18,18,21,4,36,2,3,1,29,329
Boloria chariclea,N. America,161,32,139,4356,25,27,26,5,NA,NA,NA,NA,NA,NA
Boloria epithore,N. America,40,19,96,1912,13,14,14,4,NA,NA,NA,NA,NA,NA
Boloria eunomia,Europe,1199,27,138,2295,15,16,16,2,439,6,26,8,24,248
Boloria eunomia,N. America,99,29,96,3498,17,19,18,2,NA,NA,NA,NA,NA,NA
Boloria euphrosyne,Europe,7113,32,167,3256,32,35,32,3,4684,17,179,18,97,499
Boloria freija,N. America,97,29,96,3539,16,17,17,0,NA,NA,NA,NA,NA,NA
Boloria frigga,N. America,55,29,101,3495,12,15,12,2,NA,NA,NA,NA,NA,NA
Boloria improba,N. America,66,32,82,4194,12,12,12,5,21,1,2,0,1,0
Boloria napaea,Europe,477,29,166,2920,17,19,17,2,NA,NA,NA,NA,NA,NA
Boloria selene,Europe,12901,30,165,2582,30,34,32,1,9979,17,295,18,81,499
Boloria selene,N. America,195,26,138,3501,18,19,18,4,NA,NA,NA,NA,NA,NA
Boloria thore,Europe,318,24,133,1949,10,10,11,1,NA,NA,NA,NA,NA,NA
Brenthis ino,Europe,6777,27,109,2819,25,27,31,2,5553,9,128,11,76,355
Callophrys augustinus,N. America,209,27,130,2967,24,25,25,4,NA,NA,NA,NA,NA,NA
Callophrys eryphon,N. America,50,23,91,2756,16,18,16,6,NA,NA,NA,NA,NA,NA
Callophrys niphon,N. America,165,26,136,2047,14,16,14,3,35,2,3,3,8,400
Callophrys polios,N. America,99,20,135,2780,14,14,16,2,NA,NA,NA,NA,NA,NA
Callophrys rubi,Europe,13204,35,169,2470,32,33,34,2,10890,17,291,17,123,496
Carterocephalus palaemon,Europe,800,26,125,1530,24,31,26,2,150,4,7,9,15,424
Carterocephalus palaemon,N. America,120,29,105,4295,22,23,22,5,NA,NA,NA,NA,NA,NA
Celastrina ladon,N. America,415,30,138,1485,21,24,21,6,89,3,7,4,67,379
Coenonympha glycerion,Europe,2113,25,115,3875,17,19,18,0,1653,3,41,2,22,148
Coenonympha tullia,Europe,3113,22,141,1137,22,25,25,2,1281,10,83,11,74,499
Coenonympha tullia,N. America,607,38,130,3506,32,34,35,7,300,3,10,4,11,458
Colias canadensis,N. America,22,16,84,1683,6,6,6,2,NA,NA,NA,NA,NA,NA
Colias christina,N. America,100,18,121,2303,12,15,13,2,NA,NA,NA,NA,NA,NA
Colias gigantea,N. America,73,17,95,1905,12,13,12,4,NA,NA,NA,NA,NA,NA
Colias interior,N. America,86,22,93,2079,16,17,17,3,NA,NA,NA,NA,NA,NA
Colias nastes,N. America,62,19,107,2354,12,12,13,3,NA,NA,NA,NA,NA,NA
Colias palaeno,Europe,2836,26,139,2737,23,25,28,2,1695,11,71,14,74,475
Colias palaeno,N. America,43,10,82,1475,11,12,11,4,NA,NA,NA,NA,NA,NA
Colias pelidne,N. America,15,25,96,2979,5,5,5,3,NA,NA,NA,NA,NA,NA
Cupido amyntula,N. America,126,36,100,3963,24,25,26,5,13,1,1,0,0,0
Cyaniris semiargus,Europe,217,16,168,1368,14,17,15,4,NA,NA,NA,NA,NA,NA
Erebia discoidalis,N. America,61,18,99,1614,13,13,13,5,NA,NA,NA,NA,NA,NA
Erebia epipsodea,N. America,122,28,111,4171,21,21,21,8,NA,NA,NA,NA,NA,NA
